日期_Date,年份_Year,月份_Month,月无风险收益率_MonRFRet
2009/1/1,2009,1,0.001256
2009/2/1,2009,2,0.001088
2009/3/1,2009,3,0.001041
2009/4/1,2009,4,0.001013
2009/5/1,2009,5,0.00101
2009/6/1,2009,6,0.001043
2009/7/1,2009,7,0.001227
2009/8/1,2009,8,0.001435
2009/9/1,2009,9,0.001459
2009/10/1,2009,10,0.001481
2009/11/1,2009,11,0.001499
2009/12/1,2009,12,0.001516
2010/1/1,2010,1,0.001553
2010/2/1,2010,2,0.001604
2010/3/1,2010,3,0.001619
2010/4/1,2010,4,0.001616
2010/5/1,2010,5,0.001646
2010/6/1,2010,6,0.002004
2010/7/1,2010,7,0.002134
2010/8/1,2010,8,0.002055
2010/9/1,2010,9,0.00213
2010/10/1,2010,10,0.002246
2010/11/1,2010,11,0.002446
2010/12/1,2010,12,0.00323
2011/1/1,2011,1,0.00393
2011/2/1,2011,2,0.00432
2011/3/1,2011,3,0.003581
2011/4/1,2011,4,0.003592
2011/5/1,2011,5,0.003795
2011/6/1,2011,6,0.004514
2011/7/1,2011,7,0.005108
2011/8/1,2011,8,0.004642
2011/9/1,2011,9,0.004687
2011/10/1,2011,10,0.0047
2011/11/1,2011,11,0.004731
2011/12/1,2011,12,0.004565
2012/1/1,2012,1,0.004565
2012/2/1,2012,2,0.004446
2012/3/1,2012,3,0.004208
2012/4/1,2012,4,0.004006
2012/5/1,2012,5,0.003739
2012/6/1,2012,6,0.003415
2012/7/1,2012,7,0.003225
2012/8/1,2012,8,0.003031
2012/9/1,2012,9,0.003047
2012/10/1,2012,10,0.003083
2012/11/1,2012,11,0.00314
2012/12/1,2012,12,0.00322
2013/1/1,2013,1,0.003246
2013/2/1,2013,2,0.00324
2013/3/1,2013,3,0.003236
2013/4/1,2013,4,0.003235
2013/5/1,2013,5,0.003235
2013/6/1,2013,6,0.004241
2013/7/1,2013,7,0.003972
2013/8/1,2013,8,0.00388
2013/9/1,2013,9,0.003884
2013/10/1,2013,10,0.003897
2013/11/1,2013,11,0.00392
2013/12/1,2013,12,0.004417
2014/1/1,2014,1,0.004654
2014/2/1,2014,2,0.004657
2014/3/1,2014,3,0.004587
2014/4/1,2014,4,0.004582
2014/5/1,2014,5,0.004369
2014/6/1,2014,6,0.003998
2014/7/1,2014,7,0.003955
2014/8/1,2014,8,0.003905
2014/9/1,2014,9,0.003849
2014/10/1,2014,10,0.003758
2014/11/1,2014,11,0.003559
2014/12/1,2014,12,0.003884
2015/1/1,2015,1,0.004126
2015/2/1,2015,2,0.004087
2015/3/1,2015,3,0.004083
2015/4/1,2015,4,0.003838
2015/5/1,2015,5,0.002815
2015/6/1,2015,6,0.002524
2015/7/1,2015,7,0.002644
2015/8/1,2015,8,0.002592
2015/9/1,2015,9,0.002602
2015/10/1,2015,10,0.002618
2015/11/1,2015,11,0.002534
2015/12/1,2015,12,0.002549
2016/1/1,2016,1,0.002544
2016/2/1,2016,2,0.002504
2016/3/1,2016,3,0.002341
2016/4/1,2016,4,0.002381
2016/5/1,2016,5,0.00243
2016/6/1,2016,6,0.002461
2016/7/1,2016,7,0.002413
2016/8/1,2016,8,0.002338
2016/9/1,2016,9,0.002327
2016/10/1,2016,10,0.002339
2016/11/1,2016,11,0.002433
2016/12/1,2016,12,0.002643
2017/1/1,2017,1,0.003047
2017/2/1,2017,2,0.003466
2017/3/1,2017,3,0.003623
2017/4/1,2017,4,0.003579
2017/5/1,2017,5,0.003699
2017/6/1,2017,6,0.003895
2017/7/1,2017,7,0.003596
2017/8/1,2017,8,0.003602
2017/9/1,2017,9,0.00365
2017/10/1,2017,10,0.003641
2017/11/1,2017,11,0.003798
2017/12/1,2017,12,0.00403
